Key,Title,Abstract,Relevance
3D5HUXSL,Preliminary indoor evidences of microplastic effects on freshwater benthic macroinvertebrates,"Plastics are to date considered one of the main detrimental drivers for the health of aquatic ecosystems, both in marine and inland waters. Regarding the latter habitat, it seems surprising how the plastic effects on benthic invertebrates are neglected since macroinvertebrates have a long tradition in the water quality assessment activities. In this context, we propose timely indoor observations on the exposure of caddisfly Odontocerum albicorne and mayfly Ephemera danica to various microplastic polymers (ABS, PET, PP, PS, PVDF). Three different experimental designs were performed on caddisflies and mayflies by exposing their larvae to natural and microplastic substrates. Our findings highlighted how microplastics affected both caddisflies in rebuilding its own case (after having removed the natural one) and mayflies burrowing. Particularly, all caddisflies rebuilt cases using the microplastic polymers provided instead of natural items only. Moreover, we provide the first evidence that mayflies burrow mainly in microplastic substrates rather than in natural ones. Our research highlights that macroinvertebrate larvae would use naturally occurring microplastics and this could be of particular concern in freshwaters with high contamination by plastics. Indeed, larvae appear to not necessarily perceive microplastics as a direct stressor. Further studies ought to be conducted to understand the chronic perturbation on larvae fitness and for example, on drift behaviour. Also, further investigations are needed to understand the potentialities of using plastics by benthic macroinvertebrates. ?? 2021, The Author(s).",0
KE2NTCS7,The effect of natural fillers on the marine biodegradation behaviour of poly(3-hydroxybutyrate-co-3-hydroxyvalerate) (PHBV),"Worldwide, improper disposal of plastics is instigating environmental initiatives to combat plastics accumulation of in the environment and the world?????s oceans. Poly(3-hydroxybutyrate-co-3-hydroxyvalerate) (PHBV) biocomposites with Miscanthus (Misc) fibres and distillers????? dried grains with solubles (DDGS) were studied to ascertain if natural fibres and proteinaceous fillers can improve polyhydroxyalkanoate marine biodegradability. Using ASTM standard D7991-15, the biodegradation of PHBV, PHBV with Misc (15 and 25 wt%) and PHBV with DDGS (15 and 25 wt%) was performed in a simulated marine environment for the first time, as indicated by a literature survey. PHBV/Misc (85/15) and (75/25) biocomposites showed 15 and 25% more biodegradation compared to PHBV, respectively. Proteinaceous PHBV/DDGS (85/15) and (75/25) biocomposites showed 17 and 40% more biodegradation compared to PHBV, respectively. Furthermore, PHBV/Misc (75/25) and PHBV/DDGS (75/25) biocomposites were marine biodegraded in 412 and 295 days, respectively. In conclusion, proteinaceous fillers (DDGS) biocomposites have better marine biodegradability than miscanthus. ?? 2021, The Author(s).",0
BELAGTQW,Effects of intermittent loading time and stress ratio on dwell fatigue behavior of titanium alloy Ti-6Al-4V ELI used in deep-sea submersibles,"Different components of deep-sea submersibles, such as the pressure hull, are usually subjected to intermittent loading, dwell loading, and unloading during service. Therefore, for the design and reliability assessment of structural parts under dwell fatigue loading, understanding the effects of intermittent loading time on dwell fatigue behavior of the alloys is essential. In this study, the effects of the intermittent loading time and stress ratio on dwell fatigue behavior of the titanium alloy Ti-6Al-4 V ELI were investigated. Results suggest that the dwell fatigue failure modes of Ti-6Al-4 V ELI can be classified into three types, i.e., fatigue failure mode, ductile failure mode, and mixed failure mode. The intermittent loading time does not affect the dwell fatigue behavior, whereas the stress ratio significantly affects the dwell fatigue life and dwell fatigue mechanism. The dwell fatigue life increases with an increase in the stress ratio for the same maximum stress, and specimens with a negative stress ratio tend to undergo ductile failure. The mechanism of dwell fatigue of titanium alloys is attribute to an increase in the plastic strain caused by the part of the dwell loading, thereby resulting in an increase in the actual stress of the specimens during the subsequent loading cycles and aiding the growth of the formed crack or damage, along with the local plastic strain or damage induced by the part of the fatigue load promoting the cumulative plastic strain during the dwell fatigue process. The interaction between dwell loading and fatigue loading accelerates specimen failure, in contrast to the case for individual creep or fatigue loading alone. The dwell fatigue life and cumulative maximum strain during the first loading cycle could be correlated by a linear relationship on the log?????log scale. This relationship can be used to evaluate the dwell fatigue life of Ti alloys with the maximum stress dwell. ?? 2020",0
JMPMKT8S,Factors influencing the occurrence and distribution of microplastics in coastal sediments: From source to sink,"Microplastic (MP) pollution is attracting growing global attention, but little is known about the factors influencing MP occurrence and distributions in marine sediments. Here, MPs were sampled from the sediments of two semi-enclosed bays (Jinghai Bay and Laizhou Bay) and two coastal open zones (Lancelet Reserve and Solen grandis Reserve) in China. The order of MP abundance was Jinghai Bay > Laizhou Bay > Lancelet Reserve > Solen grandis Reserve. Average MP diversity indices for Laizhou Bay (1.84 ?? 0.18), Lancelet Reserve (1.59 ?? 0.43), S. grandis Reserve (1.58 ?? 0.89), and Jinghai Bay (1.43 ?? 0.14) revealed Laizhou Bay had the most complicated MP sources. A significant negative correlation between MP abundance and sediment grain size occurred in the semi-enclosed coastal zones (p = 0.004, r = ???0.618) rather than in the open coastal zones (p = 0.051, r = ???0.480), indicating small sediment particles can strongly enhance MP accumulation in semi-enclosed costal sediments. Although anthropogenic activities influence the MP distribution at source, the composition of regional and local sediments might impact MP occurrence in semi-enclosed coastal zones from the sink. These results help to improve our understanding of the fate and inventory of MPs in coastal sediments. ?? 2021 Elsevier B.V.",1
NV3P66HB,"Neglected microplastics pollution in the nearshore surface waters derived from coastal fishery activities in Weihai, China","Plastic fishing gears have been widely used in marine fishing and mariculture, which could cause serious microplastics pollution but receive little attention. To further figure out the effect of fishery activities on microplastics, the occurrence and sources of microplastics contamination in the nearshore surface seawater of Weihai (a coastal fishery city of China) were studied. All the collected microplastics were sorted and counted based on their size, shape, and color. The distribution of microplastics pollution in this study areas was mapped. The results showed that the mean concentration of all sampling sites was 5.9??3.5 particles/m3; the concentration in the mariculture areas was 11.49 particles/m3, much higher than that in other areas without mariculture 1.57 particles/m3. Fragment and fiber accounted for 45.4% and 28.2% of the total microplastics, respectively. Most fibers and fragments were identified as polyethylene (PE) and polypropylene (PP), mainly originated from the fishing nets/ropes. Polystyrene (PS) was also generally detected in the samples due to the foam floating balls used in the mariculture area. Our research strongly suggested that marine fishery activities, especially for mariculture, could be an underestimated sea-based microplastics source and more attentions should be given. ?? 2021 Elsevier B.V.",1
U8ICGBMY,"Assessing small-scale freshwater microplastics pollution, land-use, source-to-sink conduits, and pollution risks: Perspectives from Japanese rivers polluted with microplastics","Rivers are vital for understanding freshwater microplastics pollution, along with the conduits from land-sources to marine-sinks. In this study, we investigated microplastics in the small-scale Awano and Ayaragi rivers, which flow into the Sea of Japan (SJ), and the Asa and Majime rivers, which flow into the Seto Inland Sea (SIS) in Yamaguchi Prefecture, Japan. Surface water samples were collected from 29 stations. Filtration, wet peroxidation, and density separation methods were employed to extract microplastics. Polymers were identified via attenuated total reflectance-Fourier transform infrared spectroscopy. Microplastics abundances and comparisons among different rivers revealed that these small-scale rivers were highly polluted than others around the world. Characterization demonstrated that small microplastics (<1000 ??m) in size, fibers and fragments in shape and the polymers?????polyethylene, polypropylene, vinylon, polyethylene terephthalate, and polystyrene were dominant. These small-scale rivers emitted substantially higher quantities of Japan land-sourced microplastics (0.4?????154.27 billions/day and 0.01?????17.55 tons/day) into the SJ and SIS environments than larger rivers in other countries compared to basin areas. The pollution load index indicated that all the river stations were polluted with microplastics. An assessment of the polymeric and pollution risks revealed variably low to high risks. The higher were the abundances of microplastics and toxic polymers, the higher were the pollution level and risks. The sites at high risk of pollution were regarded as hotspots. Both point and non-point land-uses sources of pollution could release microplastics into the river freshwater environments, affected posing high risks and hotspots. Moreover, the pollution characteristics (shapes-sizes-colors-polymers) indicated serious ecotoxicological threats to these rivers and their downstream environments. This study provided new insights into river microplastics pollution and revealed small-scale rivers to be prominent source-to-sink microplastics conduits. Risk assessments provided a baseline for future comprehensive assessments and developing practical approaches to wards setting water quality criteria, pollution control and management. ?? 2021 Elsevier B.V.",0
F47I5TSJ,"Recommended best practices for collecting, analyzing, and reporting microplastics in environmental media: Lessons learned from comprehensive monitoring of San Francisco Bay","Microplastics are ubiquitous and persistent contaminants in the ocean and a pervasive and preventable threat to the health of marine ecosystems. Microplastics come in a wide variety of shapes, sizes, and plastic types, each with unique physical and chemical properties and toxicological impacts. Understanding the magnitude of the microplastic problem and determining the highest priorities for mitigation require accurate measures of microplastic occurrence in the environment and identification of likely sources. The field of microplastic pollution is in its infancy, and there are not yet widely accepted standards for sample collection, laboratory analyses, quality assurance/quality control (QA/QC), or reporting of microplastics in environmental samples. Based on a comprehensive assessment of microplastics in San Francisco Bay water, sediment, fish, bivalves, stormwater, and wastewater effluent, we developed recommended best practices for collecting, analyzing, and reporting microplastics in environmental media. We recommend factors to consider in microplastic study design, particularly in regard to site selection and sampling methods. We also highlight the need for standard QA/QC practices such as collection of field and laboratory blanks, use of methods beyond microscopy to identify particle composition, and standardized reporting practices, including suggested vocabulary for particle classification. ?? 2021 The Authors",1
ISHRGXSQ,Selection of antibiotic resistance genes on biodegradable and non-biodegradable microplastics,"Growing evidence have demonstrated that microplastics in the marine ecosystem can provide novel substrates for biofilm formation, potentially facilitating the spread of antibiotic resistance. However, the occurrence of antibiotic resistance genes (ARGs) in the biofilm on microplastics has not been fully explored. This study used the metagenomic data of biodegradable and non-biodegradable microplastics staged at a coastal lagoon in the northern Gulf of Mexico to profile the ARGs and their bacterial hosts. The abundance and Shannon diversity of ARGs on biodegradable poly hydroxy alkanoate (PHA) and non-biodegradable polyethylene terephthalate (PET) have no significant differences. Nevertheless, the abundance of multidrug resistance genes on PET (3.05 copies per 16S rRNA) was statistically higher than that on PHA (2.05). Beta diversity showed that the overall pattern of resistome on PHA was significantly distinct with that on PET. Procrustes analysis suggested a good-fit correlation between ARG profiles and bacterial community composition. The host-tracking analysis identified that Pseudomonas was always the major host for glycopeptide and multidrug resistance genes in PET and PHA biofilms, whereas the primary host for macrolide-lincosamide-streptogramin (MLS) changed to Desulfovibrio on PET. This study provided the first metagenomic insights into the ARGs and their hosts on biodegradable and non-biodegradable microplastics, suggesting that both two types of plastics harbor ARGs with preferences. ?? 2020 Elsevier B.V.",0
QXA7D4HT,You are what you eat: Microplastics in the feces of young men living in Beijing,"Purpose: Microplastics have been widely detected in the environment and marine organisms. However, few studies have investigated the presence of microplastics in humans. This preliminary study identified and quantified the microplastic content in human feces. Methods: A total of 26 young male students aged 18?????25 years were recruited from Beijing, China. A self-administered 7-day 24-h fluid intake record was used to document fluid intake, and food intake was recorded for 3 days. Feces were collected by participants using a sterile fecal collector. Microplastics in the remaining fecal residues were measured and identified using fourier transform infrared micro-spectroscopy. Results: Eventually, twenty-four participants completed the study. The fecal samples of 23 (95.8%) participants tested positive for microplastics. In these 23 samples, the abundance of microplastics varied from 1 particle/g to 36 particles/g (size 20 to 800 ??m). The summed mass of all microplastic particles per participant ranged from 0.01 to 14.6 mg. Qualitative analysis of the microplastics indicated the presence of one to eight types of microplastics in each sample, with polypropylene (PP) being the most abundant; it was found in 95.8% of fecal samples. We examined associations between water intake habits and the abundance of microplastics in their feces. A moderate correlation was observed between packaged water and beverage intake and microplastic abundance in feces (r = 0.445, P = 0.029). Conclusion: Various types of microplastics were detected in human feces, with PP being found in the highest proportion. There may be an association between water intake habits and microplastic abundance in feces. ?? 2020 Elsevier B.V.",0
RVA3A2QG,"Microplastics in seafood as an emerging threat to marine environment: A case study in Goa, west coast of India","The present study exhibits the occurrence of MPs in different matrices (water, sediment and biota) from the Sal estuary, Goa, situated on the central west coast of India. The average numbers of MPs in the water column and sediment were 48 ?? 19 MP particles/L (MPs/L) and 3950 ?? 930 MP particles/kg (MPs/kg), respectively. In shellfish (whole soft tissue), the average concentrations of MPs were 4 ?? 2 (Crassostrea sp.), 3.2 ?? 1.8 (Perna viridis) and 0.7 ?? 0.3 (Paphia malbarica) MPs/g body weight (bw), respectively. The highest MPs were recorded in finfish (gastro-intestinal tract) (Mugil cephalus)7.8 ?? 4, followed by (Gerres filamentosus) 5.3 ?? 4.9, (Arius jella) 4.6 ?? 2.6, and (Etroplus suratensis)1.4 ?? 0.3 MP/g bw. MP fibres were predominant in all matrices. Interestingly, a dominance of small sized (10?????300 ??m) MPs was recorded in biota. Among the 37 polymer types identified by ??-FTIR, the most prevalent ones were, polyacrylamide (PAM), polyacetylene, ethylene vinyl alcohol (EVOH), polyvinyl chloride (PVC) and polyamide (nylon). Notably, the polymers dominant in the gut of finfish and in whole shellfish were equally prominent in sediment and the water column. This study highlights the presence of MPs in commercially important shellfish and finfish samples from the Sal estuary. This study clearly shows the presence of MPs in various types of marine organisms in the Sal estuary. As shellfish is locally consumed as a delicacy and plays a major role in the seafood industry, the MPs may pose a hazard for human health. There is also an ecological risk as MPs are also found in water and sediment and in the digestive tract of finfish. ?? 2020 Elsevier Ltd",1
